Research_Topic_Num,Aligned_Policy_Topic_Num,Similarity_Score,Research_Topic_Label,Aligned_Policy_Topic_Label
91,37,0.3472920169928733,"Topic 91: germination, seed, dormancy, seeds, seed dormancy","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
93,59,0.38401746271211246,"Topic 93: groundwater, basin, river, watershed, erosion","Topic 59: cooperative, cooperatives, operatives, societies, members"
4,89,0.39855343798088344,"Topic 4: mycorrhizal, amf, fungi, fungal, arbuscular","Topic 89: information, access information, access, disclosure, right access"
117,27,0.40336336465783557,"Topic 117: tundra, shrub, arctic, snow, reindeer","Topic 27: food, labelling, regulations, additives, packaged"
13,38,0.5195903637903748,"Topic 13: gut, microbiota, microbiome, gut microbiota, gut microbiome","Topic 38: procurement, public procurement, public, contracts, goods"
102,82,0.41813068271887577,"Topic 102: antibiotics, meat, products, veterinary, drugs","Topic 82: variety, plant, varieties, breeder, breeders"
128,27,0.450732245621333,"Topic 128: symbiont, aphids, aphid, symbionts, defensa jats","Topic 27: food, labelling, regulations, additives, packaged"
230,59,0.48660347119732517,"Topic 230: data, metadata, citizen, citizen science, science","Topic 59: cooperative, cooperatives, operatives, societies, members"
90,36,0.5326019103315806,"Topic 90: macroinvertebrate, beta diversity, beta, diversity, macroinvertebrates","Topic 36: birds, migratory, wild birds, wild, duck"
18,6,0.3591292720452255,"Topic 18: microbial, soil, soil microbial, bacterial, microbial communities","Topic 6: plant, quarantine, plants, pests, phytosanitary"
444,97,0.4369623873698187,"Topic 444: barcoding, barcode, dna, coi, identification","Topic 97: small, enterprises, fund, small medium, medium enterprises"
89,97,0.45836676055641296,"Topic 89: disinfection, disinfectant, veterinary, coli, drug","Topic 97: small, enterprises, fund, small medium, medium enterprises"
156,73,0.769336558127535,"Topic 156: tree, productivity, diversity, complementarity, tree growth","Topic 73: model, animals, animal, entry union, consignments"
416,51,0.4053714661064203,"Topic 416: jellyfish, aurelia, italic aurelia, blooms, polyps","Topic 51: planning, town country, country planning, town, scotland"
244,97,0.46300853519920465,"Topic 244: lst, urban, urban heat, heat, heat island","Topic 97: small, enterprises, fund, small medium, medium enterprises"
597,59,0.4981534251415367,"Topic 597: ice, ship, icebreaker, ramming, routing","Topic 59: cooperative, cooperatives, operatives, societies, members"
216,59,0.6203180382575247,"Topic 216: coral, reef, corals, genetic, reefs","Topic 59: cooperative, cooperatives, operatives, societies, members"
111,59,0.4886604979539912,"Topic 111: opsin, visual, light, opsins, eye","Topic 59: cooperative, cooperatives, operatives, societies, members"
108,28,0.37773430829956256,"Topic 108: sperm, male, males, female, mating","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
82,97,0.5161679723364584,"Topic 82: senescence, age, life, reproductive, longevity","Topic 97: small, enterprises, fund, small medium, medium enterprises"
2,37,0.36498329340544244,"Topic 2: herbivory, herbivore, herbivores, plant, plants","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
513,97,0.48271853969738937,"Topic 513: spiders, spider, spider species, jats spiders, jats sec","Topic 97: small, enterprises, fund, small medium, medium enterprises"
300,97,0.4785077342016736,"Topic 300: cd, heavy, metals, heavy metals, pb","Topic 97: small, enterprises, fund, small medium, medium enterprises"
327,51,0.1507315980035436,"Topic 327: wastewater, xylitol, compost, waste, composting","Topic 51: planning, town country, country planning, town, scotland"
316,5,0.39181455485318,"Topic 316: shark, sharks, shark jats, atlantic, mitochondrial","Topic 5: waste, waste management, recycling, hazardous, disposal"
54,82,0.31031171394277834,"Topic 54: fish, fish assemblages, river, assemblages, stream","Topic 82: variety, plant, varieties, breeder, breeders"
62,67,0.17266377952754017,"Topic 62: sdms, species distribution, models, ordination, distribution models","Topic 67: lands, interior, secretary interior, states, secretary"
565,5,0.3627435421519786,"Topic 565: rmse, reflectance, case rmse, rmse jats, spectra","Topic 5: waste, waste management, recycling, hazardous, disposal"
242,59,0.5400725805750645,"Topic 242: dental, tooth, microwear, wear, teeth","Topic 59: cooperative, cooperatives, operatives, societies, members"
233,122,0.5157079479980256,"Topic 233: noise, calls, acoustic, calling, advertisement","Topic 122: minnesota, public waters, chapter minnesota, minnesota statutes, drainage"
1,7,0.4565053237131848,"Topic 1: fires, severity, wildfire, burned, fuel","Topic 7: nutrition, agriculture, food, sector, food security"
484,27,0.5524149830998805,"Topic 484: drone, drones, flocks, image, eca flocks","Topic 27: food, labelling, regulations, additives, packaged"
512,106,0.23756680576605937,"Topic 512: priming, immune, immune priming, trans generational, immunity","Topic 106: recommendation, gfcm, recommendation gfcm, recommendation amends, paragraph"
97,97,0.37376053159390216,"Topic 97: road, roads, roadkill, collisions, wildlife","Topic 97: small, enterprises, fund, small medium, medium enterprises"
358,67,0.4701196903655196,"Topic 358: dispersal, informed dispersal, dispersal plasticity, informed, bequeathal","Topic 67: lands, interior, secretary interior, states, secretary"
343,27,0.5916427301309481,"Topic 343: cwd, disease, deer, bighorn sheep, bighorn","Topic 27: food, labelling, regulations, additives, packaged"
596,97,0.3913364363091494,"Topic 596: beaver, beavers, bdas, bda, beaver ponds","Topic 97: small, enterprises, fund, small medium, medium enterprises"
349,40,0.27565174009928367,"Topic 349: mussel, mussels, freshwater mussels, dreissenid, zebra","Topic 40: principal act, section, principal, regarding, words"
110,27,0.356199887795083,"Topic 110: parasite, parasites, host, haemosporidian, plasmodium","Topic 27: food, labelling, regulations, additives, packaged"
313,97,0.43535124091751604,"Topic 313: caribou, calving, caribou jats, tarandus, snow","Topic 97: small, enterprises, fund, small medium, medium enterprises"
95,27,0.5265348716872391,"Topic 95: students, online, courses, learning, student","Topic 27: food, labelling, regulations, additives, packaged"
509,37,0.39029412295768406,"Topic 509: scrub, restoration, woodland, reforested, priority","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
36,37,0.5077553297217952,"Topic 36: seed, restoration, seeding, native, establishment","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
3,5,0.4074941526269058,"Topic 3: microbial, bacterial, bacteria, communities, methane","Topic 5: waste, waste management, recycling, hazardous, disposal"
144,78,0.5239127750455541,"Topic 144: gut, microbiota, microbiome, bacterial, host","Topic 78: investment, investors, investments, economic, investor"
423,28,0.5663279336034721,"Topic 423: um, urban metabolism, urban, cities, metabolism","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
103,59,0.3801138541303955,"Topic 103: grazing, grazing intensity, sheep, plant diversity, forage","Topic 59: cooperative, cooperatives, operatives, societies, members"
64,97,0.38854168701132014,"Topic 64: heart, heart rate, cardiovascular, parameters, autonomic","Topic 97: small, enterprises, fund, small medium, medium enterprises"
424,97,0.3122531689168194,"Topic 424: pneumoniae, patients, colistin, bacterial vaginosis, vaginosis","Topic 97: small, enterprises, fund, small medium, medium enterprises"
647,59,0.3294347129635208,"Topic 647: palms, palm, palm species, tree palms, tfe","Topic 59: cooperative, cooperatives, operatives, societies, members"
610,59,0.4593509681390573,"Topic 610: genetic, victoria, grasshoppers, populations, isolation","Topic 59: cooperative, cooperatives, operatives, societies, members"
245,48,0.5643737563862655,"Topic 245: drought, root, tlp, sub tlp, water","Topic 48: milk, dairy, raw milk, raw, dairy industry"
503,75,0.5389163283485084,"Topic 503: herbicide, resistance, glyphosate, herbicide resistance, italic epsps","Topic 75: hunting, game, game hunting, game animals, hunting licence"
190,97,0.56975975603063,"Topic 190: pest, crop, fields, biological control, pests","Topic 97: small, enterprises, fund, small medium, medium enterprises"
9,97,0.5216594491790294,"Topic 9: coral, reef, reefs, corals, coral reefs","Topic 97: small, enterprises, fund, small medium, medium enterprises"
145,122,0.5432550522621734,"Topic 145: sharks, shark, shark jats, scalloped, hammerhead","Topic 122: minnesota, public waters, chapter minnesota, minnesota statutes, drainage"
11,97,0.4624522500375016,"Topic 11: fisheries, fishing, recreational, fishery, catch","Topic 97: small, enterprises, fund, small medium, medium enterprises"
456,97,0.318743607328452,"Topic 456: oysters, oyster, acidification, saccostrea, oa","Topic 97: small, enterprises, fund, small medium, medium enterprises"
0,97,0.4263347961676383,"Topic 0: pollinator, bee, bees, pollination, pollen","Topic 97: small, enterprises, fund, small medium, medium enterprises"
58,62,0.39801373753341057,"Topic 58: bd, italic bd, bd jats, amphibian, skin","Topic 62: antimicrobial, resistance, amr, antimicrobial resistance, antibiotic"
589,37,0.42245402520156583,"Topic 589: jats surname, surname, given names, jats string, names jats","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
588,34,0.3759650870878496,"Topic 588: black woodpecker, lt em, em gt, em, black","Topic 34: agricultural, farmers, purpose act, rural, contribute"
105,44,0.4871169227285924,"Topic 105: cort, corticosterone, cort jats, glucocorticoid, stress","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
172,0,0.4128541085971374,"Topic 172: eels, eel, anguilla, silver, glass","Topic 0: water, water resources, supply, water supply, resources"
55,37,0.5001964483143242,"Topic 55: uav, imagery, spectral, sensing, remote sensing","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
71,97,0.4981360094120162,"Topic 71: telomere, telomere length, telomeres, length, tl","Topic 97: small, enterprises, fund, small medium, medium enterprises"
399,5,0.39297415850936057,"Topic 399: mussel, urchin, beds, mussels, mussel beds","Topic 5: waste, waste management, recycling, hazardous, disposal"
14,82,0.4073746152958701,"Topic 14: litter, decomposition, litter decomposition, leaf litter, decomposition rates","Topic 82: variety, plant, varieties, breeder, breeders"
60,92,0.428419236566268,"Topic 60: em gt, lt em, em, flora, lt","Topic 92: europe, social, crisis, cohesion, recovery"
397,62,0.233647961428004,"Topic 397: influenza, avian influenza, iav, influenza virus, virus","Topic 62: antimicrobial, resistance, amr, antimicrobial resistance, antibiotic"
205,34,0.6472094832962426,"Topic 205: financial, market, ukraine, x0d, economic","Topic 34: agricultural, farmers, purpose act, rural, contribute"
24,7,0.4711377170861548,"Topic 24: acoustic, recordings, sound, acoustic monitoring, soundscape","Topic 7: nutrition, agriculture, food, sector, food security"
396,44,0.5518439048441578,"Topic 396: echinococcosis, echinococcus, kostanay, alveococcosis, kostanay region","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
126,97,0.33128975942334427,"Topic 126: uvr, kairomones, italic daphnia, daphnia, predation","Topic 97: small, enterprises, fund, small medium, medium enterprises"
563,20,0.630389475639167,"Topic 563: madagascar, lemurs, steppe bison, plover, fotsifotsy jats","Topic 20: climate, climate change, change, greenhouse, emissions"
8,78,0.8109818602576215,"Topic 8: bats, bat, bat species, echolocation, bat activity","Topic 78: investment, investors, investments, economic, investor"
255,118,0.14822458901682456,"Topic 255: steppe, territory, landscape, jats bold, bold","Topic 118: closure food, drink outlets, outlets, outlets regulations, food drink"
20,27,0.4868905657427902,"Topic 20: kelp, benthic, seaweed, intertidal, seaweeds","Topic 27: food, labelling, regulations, additives, packaged"
187,97,0.33007781332678665,"Topic 187: seabird, seabirds, breeding, foraging, bycatch","Topic 97: small, enterprises, fund, small medium, medium enterprises"
160,5,0.4767096331522076,"Topic 160: sexual, mate, sexual selection, mating, mate choice","Topic 5: waste, waste management, recycling, hazardous, disposal"
107,97,0.32528505153389237,"Topic 107: song, songs, vocal, noise, singing","Topic 97: small, enterprises, fund, small medium, medium enterprises"
257,97,0.5066491018076276,"Topic 257: sowing, wheat, yield, grain, ha","Topic 97: small, enterprises, fund, small medium, medium enterprises"
59,27,0.2971327593066654,"Topic 59: whales, whale, dolphins, dolphin, humpback","Topic 27: food, labelling, regulations, additives, packaged"
608,97,0.43774830877479104,"Topic 608: lightning, shielding, overhead, conductor, lightning shielding","Topic 97: small, enterprises, fund, small medium, medium enterprises"
92,28,0.3291963743616959,"Topic 92: connectivity, landscape, corridors, movement, landscape connectivity","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
98,95,0.5297397199487687,"Topic 98: seals, foraging, dive, seal, diving","Topic 95: health, care, ncds, strategic, health care"
376,27,0.4035229299497369,"Topic 376: mhc jats, case mhc, mhc, styled content, jats styled","Topic 27: food, labelling, regulations, additives, packaged"
420,28,0.5768789333268224,"Topic 420: matrotrophy, life history, parental care, embryos, life","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
227,48,0.38301357669788566,"Topic 227: diatom, diatoms, diatom communities, diatom flora, navicula","Topic 48: milk, dairy, raw milk, raw, dairy industry"
507,59,0.4369074827191721,"Topic 507: wetland, ch jats, ch, wetlands, mediated ch","Topic 59: cooperative, cooperatives, operatives, societies, members"
19,27,0.5272928635627985,"Topic 19: salmon, trout, genetic, atlantic salmon, vgll3","Topic 27: food, labelling, regulations, additives, packaged"
161,40,0.36008143068291704,"Topic 161: germination, seeds, seed, priming, vigour","Topic 40: principal act, section, principal, regarding, words"
295,89,0.2933379420691322,"Topic 295: material, stock, material stock, building, buildings","Topic 89: information, access information, access, disclosure, right access"
336,27,0.47198895952651043,"Topic 336: salinity, freshwater, osmotic, saltwater, genes","Topic 27: food, labelling, regulations, additives, packaged"
220,74,0.3260831095951069,"Topic 220: page jats, title page, aims scope, table contents, jats table","Topic 74: indiana, code concerns, indiana code, water, code"
604,59,0.3968861763440772,"Topic 604: bitter, taste, bitter taste, tas2r, italic tas2r","Topic 59: cooperative, cooperatives, operatives, societies, members"
22,5,0.4615664464828286,"Topic 22: turtles, turtle, nesting, sea turtle, loggerhead","Topic 5: waste, waste management, recycling, hazardous, disposal"
67,82,0.36091298037058794,"Topic 67: resorption, nutrient, nitrogen, phosphorus, foliar","Topic 82: variety, plant, varieties, breeder, breeders"
532,44,0.30609619512288144,"Topic 532: reproduction, reproductive, cumulative, costs, litters","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
167,97,0.3657006068468065,"Topic 167: coexistence, competition, competitive, theory, species coexistence","Topic 97: small, enterprises, fund, small medium, medium enterprises"
30,97,0.4734719026472334,"Topic 30: pathogen, pathogens, host, fungal, disease","Topic 97: small, enterprises, fund, small medium, medium enterprises"
101,6,0.4178286496906222,"Topic 101: cichlid, cichlids, lake, speciation, radiations","Topic 6: plant, quarantine, plants, pests, phytosanitary"
311,48,0.48895309453736313,"Topic 311: case pa, pa jats, jats styled, styled content, styled","Topic 48: milk, dairy, raw milk, raw, dairy industry"
302,44,0.28601437426365384,"Topic 302: oxidative, oxidative stress, oxidative damage, stress, antioxidant","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
123,28,0.47208567302270665,"Topic 123: marketing, brand, business, customer, company","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
56,27,0.4656071678256815,"Topic 56: на, по, что, для, при","Topic 27: food, labelling, regulations, additives, packaged"
148,34,0.407624643767669,"Topic 148: termite, termites, mounds, termite mounds, wood","Topic 34: agricultural, farmers, purpose act, rural, contribute"
162,27,0.5930657290963339,"Topic 162: tls, lidar, als, canopy, laser","Topic 27: food, labelling, regulations, additives, packaged"
173,16,0.491575460652992,"Topic 173: pollen, holocene, vegetation, pollen assemblages, fossil pollen","Topic 16: fishing, fish, commercial fishing, commercial, licence"
375,59,0.4756240124904511,"Topic 375: competition, competitive, coexistence, intransitivity, intransitive","Topic 59: cooperative, cooperatives, operatives, societies, members"
247,27,0.5768109811834062,"Topic 247: virus, vector, mosaic virus, viruses, infected","Topic 27: food, labelling, regulations, additives, packaged"
620,89,0.42221467022176845,"Topic 620: male, mate, mate choice, choice, females","Topic 89: information, access information, access, disclosure, right access"
113,28,0.4969589137783479,"Topic 113: regeneration, woody, forest, tree, woody species","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
28,62,0.2578170424466253,"Topic 28: patients, jats bold, bold, cancer, liver","Topic 62: antimicrobial, resistance, amr, antimicrobial resistance, antibiotic"
370,27,0.46997611559908586,"Topic 370: diet, dna, prey, metabarcoding, dietary","Topic 27: food, labelling, regulations, additives, packaged"
204,97,0.3610453995975899,"Topic 204: warming, temperature, consumer, consumer resource, thermal","Topic 97: small, enterprises, fund, small medium, medium enterprises"
79,5,0.6076290797044589,"Topic 79: dissimilarity, diversity, functional, indices, trait","Topic 5: waste, waste management, recycling, hazardous, disposal"
427,89,0.355879848272274,"Topic 427: phytoplankton, lakes, zooplankton, lake, tpoc","Topic 89: information, access information, access, disclosure, right access"
169,59,0.4079928050328421,"Topic 169: metals, heavy, heavy metals, pb, cd","Topic 59: cooperative, cooperatives, operatives, societies, members"
203,28,0.46346491937476875,"Topic 203: soil, pyc, charcoal, fungal, boreal","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
432,97,0.35772574385965833,"Topic 432: trout, case jats, jats styled, styled content, styled","Topic 97: small, enterprises, fund, small medium, medium enterprises"
49,97,0.4723110133646198,"Topic 49: jats sc, sc, phylogenetic, package, phylogenetic trees","Topic 97: small, enterprises, fund, small medium, medium enterprises"
380,97,0.41326924810228277,"Topic 380: wood, fungal, wood inhabiting, decay, fungi","Topic 97: small, enterprises, fund, small medium, medium enterprises"
94,59,0.4482619562232916,"Topic 94: leaf, jats sub, sub, stomatal, leaf traits","Topic 59: cooperative, cooperatives, operatives, societies, members"
150,97,0.4212301888447616,"Topic 150: landscape, landscape genetic, resistance, genetic, resistance surfaces","Topic 97: small, enterprises, fund, small medium, medium enterprises"
34,97,0.48501089166191086,"Topic 34: case jats, jats styled, styled content, styled, content","Topic 97: small, enterprises, fund, small medium, medium enterprises"
15,5,0.5314683324299583,"Topic 15: movement, animal, animal movement, tracking, gps","Topic 5: waste, waste management, recycling, hazardous, disposal"
231,27,0.42524725464784685,"Topic 231: chickens, feed, broiler, meat, lt gt","Topic 27: food, labelling, regulations, additives, packaged"
120,28,0.5517875918468409,"Topic 120: root, roots, fine root, root traits, fine","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
175,59,0.46706963469088164,"Topic 175: bird, urban, urbanization, bird species, birds","Topic 59: cooperative, cooperatives, operatives, societies, members"
283,5,0.6243715336782486,"Topic 283: students, textbooks, chemistry, teaching, pupils","Topic 5: waste, waste management, recycling, hazardous, disposal"
6,44,0.4895265019106553,"Topic 6: lizards, lizard, snakes, thermal, snake","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
121,82,0.4115393615429548,"Topic 121: soil, humus, soils, chernozem, organic","Topic 82: variety, plant, varieties, breeder, breeders"
224,59,0.30698861194243227,"Topic 224: helpers, begging, parents, offspring, helping","Topic 59: cooperative, cooperatives, operatives, societies, members"
7,97,0.5670938889288655,"Topic 7: ha, yield, kg, kg ha, rdf","Topic 97: small, enterprises, fund, small medium, medium enterprises"
61,97,0.54112692543806,"Topic 61: occupational, workers, working conditions, working, diseases","Topic 97: small, enterprises, fund, small medium, medium enterprises"
43,27,0.48032461874581184,"Topic 43: energy, power, x0d, electricity, electric","Topic 27: food, labelling, regulations, additives, packaged"
135,37,0.5144574384415622,"Topic 135: farmers, respondents, income, farming, extension","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
359,27,0.5301188145044723,"Topic 359: burnout, emotional, students, professional, psychological","Topic 27: food, labelling, regulations, additives, packaged"
78,117,0.4595666906150348,"Topic 78: art, australia, essay, colonial, stories","Topic 117: organic, organic production, production, products substances, products"
181,27,0.46836031353020807,"Topic 181: ha, insecticides, pests, pest, extract","Topic 27: food, labelling, regulations, additives, packaged"
530,38,0.3832155539004876,"Topic 530: farmers, bread, conservation agriculture, bread wheat, cassava rice","Topic 38: procurement, public procurement, public, contracts, goods"
383,27,0.32552123264135163,"Topic 383: mangrove, mangroves, mangle, mangle jats, wgd","Topic 27: food, labelling, regulations, additives, packaged"
182,97,0.48344250219986085,"Topic 182: orchid, orchids, orchid species, orchidaceae, pope12098","Topic 97: small, enterprises, fund, small medium, medium enterprises"
47,37,0.4003446713600173,"Topic 47: seed, seeds, seed dispersal, dispersal, dispersed","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
415,28,0.4487839345877201,"Topic 415: career, graduate, mentorship, inclusive, students","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
440,62,0.5360536416541869,"Topic 440: patients, jats bold, bold, anesthesia, carotid","Topic 62: antimicrobial, resistance, amr, antimicrobial resistance, antibiotic"
330,10,0.38759584948410014,"Topic 330: vitamin, obesity, glucose, women, bmi","Topic 10: food, food safety, safety, food authority, standards"
429,27,0.29732104622287225,"Topic 429: morphs, charr, arctic charr, morph, italic salvelinus","Topic 27: food, labelling, regulations, additives, packaged"
261,44,0.44119150787333006,"Topic 261: extinction, speciation, diversification, fossil, macroevolutionary","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
325,59,0.5268834569506098,"Topic 325: bamboo, bamboos, moso, bamboo species, moso bamboo","Topic 59: cooperative, cooperatives, operatives, societies, members"
219,97,0.41720163852114606,"Topic 219: eco evolutionary, eco, evolutionary, evolutionary dynamics, evolution","Topic 97: small, enterprises, fund, small medium, medium enterprises"
413,6,0.7208826396594028,"Topic 413: nanoparticles, zno, nps, zno nps, synthesized","Topic 6: plant, quarantine, plants, pests, phytosanitary"
134,27,0.4890012552752905,"Topic 134: chloroplast, plastomes, plastome, chloroplast genomes, genomes","Topic 27: food, labelling, regulations, additives, packaged"
42,97,0.3999060884698728,"Topic 42: scr, recapture, capture recapture, capture, estimates","Topic 97: small, enterprises, fund, small medium, medium enterprises"
10,59,0.38379025740296047,"Topic 10: butterfly, butterflies, diapause, butterfly species, temperature","Topic 59: cooperative, cooperatives, operatives, societies, members"
364,1,0.5818448471559737,"Topic 364: sex, chromosome, sex determination, sex determining, determination","Topic 1: agricultural, export, marketing, products, meat"
258,97,0.4265639632691518,"Topic 258: phytoplankton, algae, chlorophyceae, algal, cyanophyceae","Topic 97: small, enterprises, fund, small medium, medium enterprises"
664,34,0.45383325407159825,,"Topic 34: agricultural, farmers, purpose act, rural, contribute"
600,37,0.3381780663431309,"Topic 600: compost, manure, dead birds, birds litter, litter manure","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
262,28,0.44638797655109375,"Topic 262: spiders, spider, orb, glue, silk","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
502,23,0.5786155102799925,"Topic 502: digital, carbon emission, digital economy, emission, carbon","Topic 23: radiation, nuclear, radioactive, radioactive waste, ionising radiation"
228,27,0.35693295975241796,"Topic 228: china, genetic, italic, jats italic, qtp","Topic 27: food, labelling, regulations, additives, packaged"
65,7,0.4974417253145978,"Topic 65: political, political ecology, indigenous, article, extractivism","Topic 7: nutrition, agriculture, food, sector, food security"
409,97,0.4503398385063995,"Topic 409: epp, extra, pair, extra pair, mating","Topic 97: small, enterprises, fund, small medium, medium enterprises"
41,27,0.40103502687327186,"Topic 41: camera, camera trap, camera traps, trap, traps","Topic 27: food, labelling, regulations, additives, packaged"
270,68,0.40905357553416827,"Topic 270: plasticity, phenotypic plasticity, traits, climate, phenotypic","Topic 68: fuels, biomass, biofuels, renewable, scheme"
293,97,0.39694780272116004,"Topic 293: cancer, cells, tumor, cancer cells, cell","Topic 97: small, enterprises, fund, small medium, medium enterprises"
294,27,0.5634255761748613,"Topic 294: fig, figs, wasps, wasp, italic ficus","Topic 27: food, labelling, regulations, additives, packaged"
553,5,0.4603208477816339,"Topic 553: nest, nest defense, nests, defense, ifb","Topic 5: waste, waste management, recycling, hazardous, disposal"
534,44,0.3297151398642865,"Topic 534: drilling, waste, drilling waste, mining, tailings","Topic 44: virginia, chapter code, code virginia, commonwealth, chapter"
141,59,0.4893105213554428,"Topic 141: fish, liver, carp, gills, protein","Topic 59: cooperative, cooperatives, operatives, societies, members"
213,97,0.4027652700893263,"Topic 213: tourism, tourist, tourists, ecotourism, masbate","Topic 97: small, enterprises, fund, small medium, medium enterprises"
348,97,0.448754385621774,"Topic 348: biofilm, biofilms, biofilm formation, microorganisms, formation","Topic 97: small, enterprises, fund, small medium, medium enterprises"
88,28,0.40962081424298724,"Topic 88: river, dam, flow, stream, dam removal","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
27,37,0.3977161319574112,"Topic 27: coral, corals, bleaching, symbiodiniaceae, symbiodinium","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
195,37,0.3526705209060995,"Topic 195: island, islands, genetic, annua jats, annua","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
454,82,0.30036605489950546,"Topic 454: tuberculosis, tb, eptb, patients, hiv","Topic 82: variety, plant, varieties, breeder, breeders"
221,28,0.27292345754620684,"Topic 221: si, silicon, herbivore, si accumulation, defences","Topic 28: chemicals, dangerous, substances, dangerous goods, chemical"
191,37,0.5718895585498086,"Topic 191: prey, functional response, functional responses, predator, feeding rates","Topic 37: heritage, aboriginal, cultural, cultural heritage, islander"
291,27,0.44866017520108487,"Topic 291: locomotor, locomotion, body, body size, extinct","Topic 27: food, labelling, regulations, additives, packaged"
